mistralai/ministral-8b-2512    18126  1675  1624  0.00027    ✓      ✗     ✓      ✗      ✓       | ✓            ✓        ✗      | não   | ok | ✗ [Mistral]
~deepseek/deepseek-v4-flash-latest 13354  1745  2031  0.00080    ✓      ✗     ✓      ✓      ✓       | ✓            ✓        ✗      | não   | ok | ✓ [Inceptron]
~deepseek/deepseek-v4-flash-latest ERRO rede/timeout The operation was aborted due to timeout
openai/gpt-oss-120b            43097  1584  1627  0.00032    ✓      ✗     ✓      ✗      ✓       | ✓            ✓        ✗      | não   | ok | ✓ [CoreWeave]
openai/gpt-oss-120b            32940  1584  1577  0.00032    ✓      ✗     ✓      ✗      ✓       | ✓            ✓        ✗      | não   | ok | ✓ [CoreWeave]
tencent/hy-mt2-1.8b             2583  1852   359  0.00015    ✗      ✗     ✗      ✗      ✓       | ✗            ✓        ✗      | não   | ok | ✗ [Tencent]
tencent/hy-mt2-1.8b             2404  1852   331  0.00014    ✗      ✗     ✗      ✗      ✓       | ✗            ✓        ✗      | não   | ok | ✗ [Tencent]
inclusionai/ling-3.0-flash-fin  9283  1864  1591  0.00040    ✓      ✓     ✓      ✗      ✓       | ✓            ✓        ✓      | não   | ** | ✗ [DeepInfra]
inclusionai/ling-3.0-flash-fin 10994  1864  1875  0.00036    ✓      ✗     ✓      ✗      ✓       | ✓            ✓        ✗      | não   | ok | ✗ [DeepInfra]
poolside/laguna-s-2.1          15011  1955  1781  0.00049    ✓      ✗     ✓      ✗      ✓       | ✓            ✓        ✗      | não   | ok | ✓ [Poolside]
poolside/laguna-s-2.1          16481  1955  1790  0.00050    ✓      ✗     ✓      ✗      ✓       | ✓            ✓        ✗      | não   | ok | ✓ [Poolside]
qwen/qwen3-30b-a3b-instruct-2507 15093  1723  2101  0.00049    ✓      ✗     ✓      ✗      ✓       | ✓            ✓        ✗      | não   | ok | ✓ [StreamLake]
qwen/qwen3-30b-a3b-instruct-2507 114208  1723  2046  0.00079    ✓      ✗     ✓      ✗      ✓       | ✓            ✓        ✗      | não   | ok | ✓ [Nebius]
mistralai/mistral-small-3.2-24b-instruct 22898  1675  1169  0.00036    ✓      ✗     ✗      ✗      ✓       | ✓            ✓        ✗      | não   | ok | ✓ [DeepInfra]
mistralai/mistral-small-3.2-24b-instruct 34564  1675  1189  0.00036    ✓      ✗     ✗      ✗      ✓       | ✓            ✓        ✗      | não   | ok | ✓ [DeepInfra]
bytedance/ui-tars-1.5-7b       27120  1734  2048  0.00058    ✓      ✗     ✗      ✗      ✓       | ✗            ✗        ✗      | não   | ok | ✗ [Parasail]
bytedance/ui-tars-1.5-7b       11015  1734   765  0.00033    ✗      ✗     ✗      ✗      ✓       | ✗            ✓        ✗      | não   | ok | ✗ [Parasail]
meta/muse-spark-1.2-contributor ERRO {"error":{"message":"This model requires you to complete the following before use: 18+ age confirmation. Confirm at https://openrouter.ai/settings/preferences."
meta/muse-spark-1.2-contributor ERRO {"error":{"message":"This model requires you to complete the following before use: 18+ age confirmation. Confirm at https://openrouter.ai/settings/preferences."
meta/muse-spark-1.3-contributor ERRO {"error":{"message":"This model requires you to complete the following before use: 18+ age confirmation. Confirm at https://openrouter.ai/settings/preferences."
meta/muse-spark-1.3-contributor ERRO {"error":{"message":"This model requires you to complete the following before use: 18+ age confirmation. Confirm at https://openrouter.ai/settings/preferences."
qwen/qwen-2.5-7b-instruct      12510  1744   885  0.00035    ✓      ✗     ✗      ✗      ✓       | ✗            ✓        ✗      | não   | ok | ✗ [Phala]
qwen/qwen-2.5-7b-instruct      14732  1744  1231  0.00042    ✓      ✗     ✗      ✗      ✓       | ✗            ✓        ✗      | não   | ok | ✗ [Phala]
rekaai/reka-flash-3            54071  1800  4000  0.00098    ✗      ✗     ✗      ✗      ✗       | ✗            ✗        ✗      | não   | ok | ✗ [Reka]
rekaai/reka-flash-3            47832  1800  4000  0.00098    ✗      ✗     ✗      ✗      ✗       | ✗            ✗        ✗      | não   | ok | ✗ [Reka]
mistralai/ministral-14b-2512   15792  1675  1609  0.00066    ✓      ✗     ✗      ✗      ✓       | ✓            ✓        ✗      | não   | ** | ✓ [Mistral]
mistralai/ministral-14b-2512   17427  1675  1583  0.00035    ✓      ✗     ✗      ✗      ✓       | ✓            ✓        ✗      | não   | ok | ✓ [Mistral]
meta-llama/llama-3.2-1b-instruct 21713  1728  4000  0.00085    ✗      ✗     ✗      ✗      ✓       | ✗            ✓        ✗      | não   | ok | ✗ [Cloudflare]
meta-llama/llama-3.2-1b-instruct 19538  1728  4000  0.00085    ✗      ✗     ✗      ✗      ✗       | ✗            ✗        ✗      | não   | ok | ✗ [Cloudflare]
amazon/nova-lite-v1             7408  1652  1204  0.00039    ✓      ✗     ✗      ✗      ✗       | ✓            ✓        ✗      | não   | ok | ✓ [Amazon Bedrock]
amazon/nova-lite-v1             6943  1652  1123  0.00037    ✓      ✗     ✓      ✗      ✓       | ✓            ✓        ✗      | não   | ok | ✓ [Amazon Bedrock]
ibm-granite/granite-4.2-8b     25851  1808  4000  0.00111    ✓      ✗     ✗      ✗      ✓       | ✓            ✓        ✗      | não   | ok | ✗ [DeepInfra]
ibm-granite/granite-4.2-8b     24622  1808  4000  0.00103    ✓      ✗     ✓      ✗      ✓       | ✓            ✓        ✗      | não   | ok | ✗ [DeepInfra]
~z-ai/glm-flash-latest         19749  1677  1849  0.00106    ✓      ✓     ✓      ✗      ✓       | ✓            ✓        ✓      | não   | ok | ✓ [StreamLake]
~z-ai/glm-flash-latest         116671  1677  4000  0.00157    ✗      ✗     ✗      ✗      ✗       | ✗            ✗        ✗      | não   | ok | ✗ [Wafer]
qwen/qwen3.5-flash-02-23       13744  1590  1557  0.00051    ✓      ✗     ✓      ✓      ✓       | ✓            ✓        ✗      | não   | ok | ✓ [Alibaba]
qwen/qwen3.5-flash-02-23       11553  1590  1584  0.00052    ✓      ✓     ✓      ✓      ✓       | ✓            ✓        ✓      | não   | ok | ✓ [Alibaba]
qwen/qwen3-32b                 74224  1724  1776  0.00064    ✓      ✗     ✓      ✗      ✓       | ✓            ✓        ✗      | não   | ok | ✓ [DeepInfra]
qwen/qwen3-32b                 68770  1727  1319  0.00099    ✓      ✗     ✓      ✗      ✓       | ✓            ✓        ✗      | não   | ok | ✓ [SiliconFlow]
xiaomi/mimo-v2.5               25978  1962  2877  0.00126    ✓      ✓     ✓      ✓      ✓       | ✓            ✓        ✓      | não   | ok | ✓ [Novita]
xiaomi/mimo-v2.5               44165  1962  4000  0.00136    ✗      ✗     ✗      ✗      ✗       | ✗            ✗        ✗      | não   | ok | ✗ [Novita]
tencent/hy-mt2-30b-a3b         14250  1861  2210  0.00079    ✓      ✗     ✗      ✗      ✓       | ✓            ✓        ✗      | não   | ok | ✓ [Tencent]
tencent/hy-mt2-30b-a3b         11508  1861  1602  0.00061    ✓      ✗     ✓      ✗      ✓       | ✓            ✓        ✗      | não   | ok | ✓ [Tencent]
tencent/hy-mt2-7b               8700  1724  1057  0.00044    ✗      ✗     ✓      ✗      ✓       | ✗            ✓        ✗      | não   | ok | ✓ [Tencent]
tencent/hy-mt2-7b               8838  1724  1064  0.00044    ✗      ✗     ✓      ✗      ✓       | ✗            ✓        ✗      | não   | ok | ✓ [Tencent]
bytedance-seed/seed-1.6-flash  18306  1758  1911  0.00071    ✓      ✗     ✗      ✗      ✓       | ✓            ✓        ✗      | não   | ok | ✓ [Seed]
bytedance-seed/seed-1.6-flash  13754  1758  1504  0.00058    ✓      ✗     ✗      ✗      ✓       | ✓            ✓        ✗      | não   | ok | ✓ [Seed]
meta-llama/llama-4-scout       31637  1536  1189  0.00051    ✓      ✗     ✗      ✗      ✓       | ✓            ✓        ✗      | não   | ok | ✓ [DeepInfra]
